"experiment","item","top1","top3","macro_f1","success_rate","failure_rate","avg_latency_ms","route_correct_rate","json_valid_rate","schema_pass_rate","label_in_set_rate","top3_complete_rate","skipped_reason","reference_csv","model_params","model_size_mb","inference_ms_per_image","train_seconds","best_epoch","best_macro_f1","fusion_top1","fusion_top3","fusion_macro_f1","metrics_path"
"exp1_modalcompare","mobilenet_v3_small","0.6798","0.8551","0.6478","","","","","","","","","","","1540406","5.876","5.298","2421.0","23","0.6466","0.6738","0.9478","0.6733","D:\SCUT\毕业设计\Code\artifacts\multi_model_compare\mobilenet_v3_small\metrics.json"
"exp1_modalcompare","resnet18","0.7354","0.8933","0.7079","","","","","","","","","","","11187798","42.678","2.44","2484.74","30","0.7079","0.7189","0.9419","0.72","D:\SCUT\毕业设计\Code\artifacts\multi_model_compare\resnet18\metrics.json"
"exp1_modalcompare","efficientnet_b0","0.762","0.9107","0.7337","","","","","","","","","","","4035730","15.395","8.427","2259.19","21","0.7337","0.7509","0.9573","0.7502","D:\SCUT\毕业设计\Code\artifacts\multi_model_compare\efficientnet_b0\metrics.json"
"exp2_multimodal","image_only","0.7091","0.9","0.7015","1.0","0.0","30.95","","","","","","","","","","","","","","","","",""
"exp2_multimodal","image_text_fusion","0.7182","0.9727","0.7118","1.0","0.0","31.1","","","","","","","","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.5,b=0.35,g=0.15","0.7545","0.9727","0.7479","1.0","0","35.35","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.5,b=0.4,g=0.1","0.7545","0.9727","0.7479","1.0","0","33.03","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.6,b=0.3,g=0.1","0.7545","0.9727","0.7479","1.0","0","34.8","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.6,b=0.35,g=0.05","0.7545","0.9727","0.7479","1.0","0","32.36","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.6,b=0.4,g=0.0","0.7545","0.9727","0.7479","1.0","0","33.8","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.7,b=0.3,g=0.0","0.7545","0.9727","0.7479","1.0","0","33.61","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.5,b=0.3,g=0.2","0.7545","0.9636","0.7479","1.0","0","209.46","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.6,b=0.25,g=0.15","0.7545","0.9636","0.7479","1.0","0","34.83","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.7,b=0.25,g=0.05","0.7455","0.9727","0.7406","1.0","0","36.68","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.6,b=0.2,g=0.2","0.7455","0.9636","0.7406","1.0","0","33.19","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.8,b=0.2,g=-0.0","0.7364","0.9636","0.7303","1.0","0","32.97","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.9,b=0.1,g=-0.0","0.7364","0.9636","0.7303","1.0","0","34.83","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.7,b=0.15,g=0.15","0.7364","0.9545","0.7303","1.0","0","33.06","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.8,b=0.1,g=0.1","0.7364","0.9455","0.7303","1.0","0","36.61","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.8,b=0.15,g=0.05","0.7364","0.9455","0.7303","1.0","0","32.84","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.7,b=0.1,g=0.2","0.7364","0.9364","0.7303","1.0","0","36.15","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.8,b=0.05,g=0.15","0.7364","0.9364","0.7303","1.0","0","32.23","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.9,b=0.05,g=0.05","0.7364","0.9364","0.7303","1.0","0","34.65","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp3_fusion_weight_sweep","a=0.7,b=0.2,g=0.1","0.7364","0.9636","0.7297","1.0","0","33.59","","","","","","","D:\SCUT\毕业设计\Code\artifacts\fusion_weight_sweep\fusion_weight_sweep.csv","","","","","","","","","",""
"exp4_prompt_json","raw_prompt + no_json_constraint","0.9182","0.9182","0.936","0.9273","0.0727","1357.23","","0.9273","0.9273","0.9273","0.9273","","","","","","","","","","","",""
"exp4_prompt_json","raw_prompt + json_constraint","0.0","0.0","0.0","0.0","1.0","1280.33","","0.9273","0.0","0.0","0.0","","","","","","","","","","","",""
"exp4_prompt_json","normalized_prompt + no_json_constraint","0.9182","0.9182","0.936","0.9273","0.0727","4408.29","","0.9273","0.9273","0.9273","0.9273","","","","","","","","","","","",""
"exp4_prompt_json","normalized_prompt + json_constraint","0.9182","0.9182","0.936","0.9273","0.0727","4068.61","","0.9273","0.9273","0.9273","0.9273","","","","","","","","","","","",""
"exp5_robustness","A_api_normal","0.9636","0.9909","0.9633","1.0","0.0","3833.19","0.9273","","","","","","","","","","","","","","","",""
"exp5_robustness","B_api_fail_to_local_hybrid","0.7182","0.9727","0.7118","1.0","0.0","29.51","1.0","","","","","","","","","","","","","","","",""
"exp5_robustness","C_api_and_local_hybrid_fail_to_local_mock","0.5","0.5","0.4175","1.0","0.0","0.63","1.0","","","","","","","","","","","","","","","",""
"exp6_ablation","baseline_full","0.9727","0.9909","0.9725","1.0","0.0","3996.77","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_text_input","0.3091","0.4364","0.2498","1.0","0.0","4132.21","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_prompt_template","0.7182","0.9727","0.7118","1.0","0.0","1444.48","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_json_constraint","0.9727","0.9909","0.9725","1.0","0.0","4231.74","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_second_layer_fallback","0.5","0.5","0.4175","1.0","0.0","0.04","","","","","","","","","","","","","","","","",""
"exp6_ablation","remove_third_layer_fallback","0.0","0.0","0.0","0.0","1.0","0.55","","","","","","","","","","","","","","","","",""
"exp7_external_generalization","layer1_api","0.2571","0.6271","0.0512","0.9957","0.0043","5943.72","","","0.9957","","","","","","","","","","","","","",""
"exp7_external_generalization","layer2_local_hybrid","0.2657","0.5857","0.075","1.0","0","17.32","","","1.0","","","","","","","","","","","","","",""
